Date,US,Japon,Korea,Brazil,US,Japon,Korea,Brazil
2017-05-31,0.243570435,0.081393338,0.314072951,0.360963276,1,1,0,0
2017-06-30,0.162536848,0.029840416,0.330809509,0.476813225,0,0,0,1
2017-07-31,0.203538925,0.033872376,0.33605959,0.426529108,1,0,0,1
2017-08-31,0.206348115,0.088814464,0.333956092,0.370881329,1,1,0,0
2017-09-30,0.190249541,0.015708807,0.305836763,0.488204887,1,0,0,1
2017-10-31,0.216159413,0.060158905,0.338880221,0.38480146,1,1,0,0
2017-11-30,0.133607018,0.02837042,0.273654729,0.564367833,0,0,0,1
2017-12-31,0.240765048,0.039562712,0.30659044,0.413081799,1,0,0,1
2018-01-31,0.238054274,0.070938113,0.313004808,0.378002805,1,1,0,0
2018-02-28,0.191099222,0.025717988,0.304648134,0.478534655,1,0,0,1
2018-03-31,0.176969429,0.057135956,0.313663592,0.452231023,0,1,0,1
2018-04-30,0.260936282,0.057537285,0.314972446,0.366553987,1,1,0,0
2018-05-31,0.190825548,0.052952404,0.372623695,0.383598353,1,1,1,0
2018-06-30,0.193291152,0.053751455,0.26109821,0.491859182,1,1,0,1
2018-07-31,0.163424913,0.051263822,0.306132376,0.479178888,0,1,0,1
2018-08-31,0.258256622,0.05660469,0.228643082,0.456495605,1,1,0,1
2018-09-30,0.186285148,0.043649372,0.289861539,0.48020394,1,1,0,1
2018-10-31,0.253278484,0.079269037,0.256615664,0.410836813,1,1,0,1
2018-11-30,0.213701922,0.03796948,0.280392565,0.467936032,1,0,0,1
2018-12-31,0.187859603,0.040842592,0.288324567,0.482973237,1,0,0,1
2019-01-31,0.239690703,0.042294466,0.257238221,0.46077661,1,0,0,1
2019-02-28,0.179670768,0.063042162,0.244434742,0.512852327,0,1,0,1
2019-03-31,0.249049096,0.058620068,0.260306149,0.432024685,1,1,0,1
2019-04-30,0.256809782,0.049081963,0.300821086,0.393287168,1,1,0,0
2019-05-31,0.192609207,0.039051848,0.291913922,0.476425023,1,0,0,1
2019-06-30,0.274478466,0.045149079,0.227951414,0.45242104,1,1,0,1
2019-07-31,0.202509245,0.058505712,0.383843833,0.35514121,1,1,1,0
2019-08-31,0.13903685,0.038076043,0.253391952,0.569495155,0,0,0,1
2019-09-30,0.272064228,0.063401811,0.272525344,0.392008617,1,1,0,0
2019-10-31,0.271260176,0.028908931,0.318469151,0.381361741,1,0,0,0
2019-11-30,0.212415771,0.043218489,0.283640293,0.460725446,1,0,0,1
2019-12-31,0.215178846,0.042644501,0.246900942,0.49527571,1,0,0,1
2020-01-31,0.275463656,0.046407356,0.188730364,0.489398624,1,1,0,1
2020-02-29,0.259805486,0.061406792,0.251322413,0.427465308,1,1,0,1
2020-03-31,0.183406229,0.052600066,0.246693569,0.517300134,1,1,0,1
2020-04-30,0.30103326,0.040335727,0.222324868,0.436306145,1,0,0,1
2020-05-31,0.228035952,0.037563597,0.361487293,0.372913158,1,0,0,0
2020-06-30,0.183875215,0.028090648,0.288753704,0.499280433,1,0,0,1
2020-07-31,0.222569124,0.049109418,0.236874092,0.491447366,1,1,0,1
2020-08-31,0.216587736,0.056310764,0.324987939,0.402113561,1,1,0,0
2020-09-30,0.210335834,0.05465665,0.291662715,0.443344801,1,1,0,1
2020-10-31,0.195312749,0.072240247,0.271008781,0.461438223,1,1,0,1
2020-11-30,0.263899536,0.037495713,0.311436592,0.387168159,1,0,0,0
2020-12-31,0.22766886,0.043713511,0.330608039,0.398009589,1,1,0,0
2021-01-31,0.194500085,0.026344044,0.271187247,0.507968623,1,0,0,1
2021-02-28,0.304332382,0.032431175,0.287226429,0.376010014,1,0,0,0
2021-03-31,0.226160163,0.053571874,0.311873754,0.40839421,1,1,0,1
2021-04-30,0.227707245,0.047372656,0.27122361,0.453696488,1,1,0,1
2021-05-31,0.186192599,0.038463105,0.240292714,0.535051581,1,0,0,1
2021-06-30,0.347021825,0.049249831,0.221961638,0.381766706,1,1,0,0
2021-07-31,0.331641265,0.041774037,0.238582963,0.388001735,1,0,0,0
2021-08-31,0.276298458,0.054761033,0.296503219,0.37243729,1,1,0,0
2021-09-30,0.242252316,0.031227357,0.249516829,0.477003497,1,0,0,1
2021-10-31,0.242007134,0.037724767,0.254681461,0.465586637,1,0,0,1
2021-11-30,0.289052519,0.05370515,0.280657558,0.376584773,1,1,0,0
2021-12-31,0.182076134,0.078533456,0.245125288,0.494265121,1,1,0,1
2022-01-31,0.322933781,0.057177048,0.269588503,0.350300667,1,1,0,0
2022-02-28,0.261508104,0.053315196,0.288397908,0.39677879,1,1,0,0
2022-03-31,0.383021648,0.052897255,0.174226148,0.389854948,1,1,0,0
2022-04-30,0.262510943,0.059294418,0.224282295,0.453912343,1,1,0,1
2022-05-31,0.254265483,0.045241237,0.345687452,0.397468763,1,1,0,0
